KEGG_Drug_ID,CanSmiles,class_index
C00018,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,0
C00220,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],13
C00989,C(CC(=O)O)CO,9
C01060,C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N,5
C01946,CC1CC(C(C(O1)OC2C(CC3(CO3)C(=O)C(C(C(C(OC(=O)C(C(C2C)OC4CC(C(C(O4)C)O)OC)C)C)C)O)C)C)O)N(C)C,6
C01996,CC(=O)OCC[N+](C)(C)C,12
C02305,CN(CC(=O)O)C(=NP(=O)(O)O)N,2
C02571,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,9
C04227,C1=CC(=CC=C1C(CN)O)O,2
C04931,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,1
C05682,C(C(=O)O)P(=O)(O)O,6
C05979,CCCO,3
C06174,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,11
C06456,C(=O)(O)P(=O)(O)O,6
C06710,[Ag],3
C06790,C(=C(Cl)Cl)Cl,9
C06807,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO,9
C06819,C(CN)CNCCSP(=O)(O)O,13
C06850,CC(C[N+](C)(C)C)OC(=O)N,9
C06909,C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O,6
C06925,C1C(O1)CCl.C(CNCCNCCNCCN)N,2
C06975,CCOP(=O)(OCC)SCC[N+](C)(C)C,12
C07005,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,11
C07051,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,6
C07055,CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C,0
C07174,C1CC2C3C(C[S+]2C1)N(C(=O)N3CC4=CC=CC=C4)CC5=CC=CC=C5,2
C07177,CC1(C(N2C(S1)C(C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)O)C,6
C07269,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.[Fe+4],2
C07400,C[N+]1=CC=CC=C1C=NO,13
C07410,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,9
C07412,CC1=CC(=C(N1C2=CC=CC=C2)C)C=CC3=[N+](C4=C(C=C3)C=C(C=C4)N(C)C)C,10
C07506,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C,0
C07511,CC1(C2CCC(C2)C1(C)NC)C,2
C07521,CCCC(C)C1(C(=O)NC(=S)NC1=O)CC,9
C07533,CC(C)NCC(COC1=CC=C(C=C1)O)O,2
C07546,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,8
C07547,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,8
C07548,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,8
C07551,CC(=O)OC1CC2CCC3C(C2(CC1[N+]4(CCCCC4)C)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,8
C07553,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,8
C07621,CCC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(C)(C)C(=O)O,4
C07773,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,9
C07811,C[N+]1(CCN(CC1)CC(C2CCCCC2)(C3=CC=CC=C3)O)C,0
C07814,CN1C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O,12
C07818,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,0
C07849,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,0
C07861,CC[N+](CC)(CC)CCC(C1CCCCC1)(C2=CC=CC=C2)O,0
C07928,C1=CC(=CC=C1OCC(CO)O)Cl,3
C08859,CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)O,2
C09421,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,10
C09668,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C,10
C11114,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2,11
C11233,COC(=O)C1=CC=CC=C1C(=O)OC,10
C11250,CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,7
C11279,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3
C11368,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,6
C11752,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC=CC=C4)C(=O)O)C,4
C11790,CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O,9
